name,subscribed,web,relative_url,instagram,address
A la bière comme à la bière - Custine,false,https://www.alabierecommealabiere.com,ALaBiereCommeALaBiere,https://www.instagram.com/alabierecommealabiere,20 Rue Custine 75018 Paris
A la bière comme à la bière - Jourdain,false,https://www.alabierecommealabiere.com,ALaBiereCommeALaBiere,https://www.instagram.com/alabierecommealabiere,353 Rue des Pyrénées 75020 Paris
A la bière comme à la bière - Le Drunken,true,https://www.ledrunken.com,ledrunken,https://www.instagram.com/ledrunken_montreuil,19 Rue Girard 93100 Montreuil
Atalante,true,https://atalanteourcq.fr/en,atalanteourcq,https://www.instagram.com/atalanteourcq,26 Quai de la Marne 75019 Paris
BBP Canal,false,https://beerproject.be/pages/canal-taproom,bbpcanal,https://www.instagram.com/bbp.canal,47 bis Rue Bichat 75010 Paris
BBP Pigalle,false,https://beerproject.be/pages/pigalle-taproom,bbeppigalle,https://www.instagram.com/bbp_pigalle,1 Rue de Bruxelles 75009 Paris
BEER Paris,false,https://www.beerparis.com,BEER.Paris.Cave,https://www.instagram.com/beer.paris/?hl=en,3 Rue de la Forge Royale 75011 Paris
Bières Cultes Cardinal,false,https://bierescultes.fr/bc/r/default.asp,bierescultes,https://www.instagram.com/bieres_cultes,44 Rue des Boulangers 75005 Paris
Bières Cultes Châtelet,true,https://bierescultes.fr/bc/r/default.asp,bierescultes,https://www.instagram.com/bieres_cultes,14 Rue des Halles 75001 Paris
Biérocratie,true,https://www.bierocratie.com,bierocratie,https://www.instagram.com/bierocratie,32 Rue de l'Espérance 75013 Paris
Black Mad Crawler,true,,blackmadcrawler,https://www.instagram.com/blackmadcrawler,140 Boulevard Richard-Lenoir 75011 Paris
Black Sheep Society,false,https://blacksheepsocietyparis.com,blacksheepsocietyparis,https://www.instagram.com/_.officialblacksheepsociety,15 Rue Daval 75011 Paris
BODOMA - Craft bar / Café,false,https://bodoma.com/fr,bierebodoma,https://www.instagram.com/explore/locations/1022680892/biere-bodoma,79 Boulevard Voltaire 75011 Paris
Boneless Brewing Co,true,https://www.bonelessbrewing.com,profile.php?id=61568050211651,https://www.instagram.com/boneless.brewingco,93 Boulevard de Vanves 92320 Chatillon
Brasserie 3ienchs,false,https://www.3ienchs.fr,3ienchs/?locale=fr_FR,https://www.instagram.com/3ienchs/?hl=fr,2 bis Rue Vassal 94100 Saint-Maur-des-Fossés
Brasserie Artemus,true,https://www.brasserie-artemus.fr,brasserieartemus,https://www.instagram.com/brasserieartemus,24 T Avenue des Deux Clochers 94450 Limeil-Brévannes
Brasserie Associative des Regards,false,https://www.helloasso.com/associations/brasserie-associative-des-regards,brasseriedesregards,https://www.instagram.com/brasseriedesregards,28 Rue de l'Ermitage 75020 Paris
Brasserie Croix de Chavaux,true,https://croixdechavaux.com/brasserie,croixdechavaux,https://www.instagram.com/croixdechavauxbrewery,8 Rue Désiré Charton 93100 Montreuil
Brasserie d'Orville,true,https://brasseriedorville.com,BrasserieOrville,https://www.instagram.com/brasserie_d_orville,29 Rue de Paris 95380 Louvres
Brasserie de l'Être,false,https://brasseriedeletre.paris,brasseriedeletre,https://www.instagram.com/brasseriedeletre,
Brasserie du Grand Paris,true,https://www.bgp.paris,brasseriegrandparis,https://www.instagram.com/brasseriegrandparis,103 Rue Charles Michels 93200 Saint-Denis
Brasserie La Parisienne,true,https://www.brasserielaparisienne.com,brasserielaparisienne,https://www.instagram.com/biereparisienne,29 Rue Cartier Bresson 93500 Pantin
Brasserie Nemeto,true,https://www.brasserienemeto.fr,brasserienemeto,https://www.instagram.com/brasserienemeto,4 Rue Silvy 92000 Nanterre
Brasserie Parisis,true,https://brasserie-parisis.com,brasserieparisis,https://www.instagram.com/brasserie_parisis,3 Rue René Dumont 77380 Combs la Ville
Brasserie Toussaint,false,https://www.brasserietoussaint.com,brasserietoussaint,https://www.instagram.com/brasserietoussaint,2 Avenue de l'Europe 78590 Noisy-le-Roi
Café MAMA KIN,true,,cafemamakin,https://www.instagram.com/lecafemamakin,13 Rue de Thionville 75019 Paris
Carburant,true,,Carburantbar,https://www.instagram.com/carburant_bar,60 Rue de Lancry 75010 Paris
Chinaski cave,true,,,https://www.instagram.com/chinaski_biere_whisky,7 Rue Emilio Castelar 75012 Paris
Crazy Hops,false,https://www.crazyhops.fr,CrazyHops77,https://www.instagram.com/crazyhops77,1 Rue de la Tuilerie  77710 Vaux-sur-Lunain
Daddy Brew,false,,people/Daddy-Brew/100065094456425,https://www.instagram.com/daddy.brew,
Delaville,true,https://delavilleparis.com,delavillecafe,https://www.instagram.com/delavilleparis,34-36 Boulevard de Bonne Nouvelle 75010 Paris
Dr Feelgood Rock Beer Temple,false,,rockbeertemple,https://www.instagram.com/rockbeertemple_x_drfeelgood,34 Rue Keller 75011 Paris
Express de Lyon,true,,ex2lyon,https://www.instagram.com/ex2lyon,1 Rue de Lyon 75012 Paris
Galopins par Patoche,true,,I.B.U.BAR.PARIS,https://www.instagram.com/galopins_patoche,20 Cour des Petites Écuries 75010 Paris
Gush Bar,true,https://gush-bar.com,gushbarparis,https://www.instagram.com/gushbar,288 Rue des Pyrénées 75020 Paris
Hall's Beer Tavern,true,https://www.hallsbeertavern.fr,hallsbeertavern,https://www.instagram.com/hallsbeertavernparis,68 rue Saint Denis 75001 Paris
HAZY,true,https://www.hazy.paris,hazy.paris,https://www.instagram.com/hazy.paris,7 Rue Sorbier 75020 Paris
Hoppy Corner,true,,hoppycorner,https://www.instagram.com/hoppycorner,34 Rue des Petits Carreaux 75002 Paris
Kilomètre Zéro,true,https://www.km-0.bar,profile.php?id=100094598254148,https://www.instagram.com/km0paris,39 Rue Notre Dame de Nazareth 75003 Paris
L'Alfortvillaise,false,https://lalfortvillaise.com,p/LAlfortvillaise-100046317948655,https://www.instagram.com/lalfortvillaise,2 Rue des Essertes 94140 Alfortville
L'école buissonnière,false,,p/LEcole-Buissonni%C3%A8re-100049981934288,https://www.instagram.com/lecole_b_/reels,8 Rue Pierre Dupont 75010 Paris
L'Écume Cave (ex le frigo),false,,,https://www.instagram.com/lecumecave/?hl=en,43 Rue de l'Ourcq 75019 Paris
L'Instant,true,,BieresLInstant,https://www.instagram.com/biereslinstant,24 bis Rue du Pré des Aulnes 77340 Pontault-Combault
La Binouze,true,https://www.labinouze.fr,LaBinouzeParis,https://www.instagram.com/labinouze_paris,72 Rue Marguerite de Rochechouart 75009 Paris
La Bouledogue,false,https://labouledogue.fr,labouledogue?fref=ts,https://www.instagram.com/la_bouledogue,"Industriel de la Prairie, Rue de la Prairie 91140 Villebon-sur-Yvette"
La Caisse de Bières Courbevoie,true,https://lacaissedebieres.fr,cdbcourbevoie,https://www.instagram.com/lacaissedebieres,21 Rue Kleber 92400 Courbevoie
La Caisse de Bières Sèvres,false,https://lacaissedebieres.fr,lacaissedebieres,https://www.instagram.com/lacaissedebieres,2 Place de Marivel 92310 Sèvres
La Cave Degré,false,https://www.lacavedegre.com,lacavedegre,https://www.instagram.com/la_cave_degre,22 Rue des Plantes 75014 Paris
La Cave du Poney qui Tousse,false,,profile.php?id=100090996006620,,10 Rue Lemercier 75017 Paris
La Fine Mousse Bar,true,https://www.lafinemousse.fr/en,lafinemousse,https://www.instagram.com/lafinemousse,6 Avenue Jean Aicard 75011 Paris
La Goutte d'Or,true,https://brasserielagouttedor.com,brasserielagouttedor,https://www.instagram.com/bieresgouttedor,28 rue de la Goutte d'Or 75018 Paris
La Guinche,true,https://www.laguinche.net,LaGuinche.Bieres,https://www.instagram.com/laguinche_bieres,44 Avenue de la Résistance 77500 Chelles
La P'tite Soeur,false,https://lapetitesoeurparis.fr,LaPetiteSoeurParis,https://www.instagram.com/lapetitesoeurparis,165 Avenue de la République 78500 Sartrouville
La Robe & La Mousse,true,https://www.lafinemousse.fr/en,LaRobeEtLaMousse,https://www.instagram.com/larobeetlamousse,3 Rue Monsieur le Prince 75006 Paris
La Ruée vers l'Orge,true,,lrvoParis,https://www.instagram.com/larueeverslorge75,6 Rue des Fontaines du Temple 75003 Paris
La Taverne des Korrigans,true,,tavernekorrigans,https://www.instagram.com/tavernedeskorrigans,42 Rue du Cardinal Lemoine 75005 Paris
Le 107bis,false,,,https://www.instagram.com/107bis/?hl=fr,107B Avenue de Saint-Ouen 75017 Paris
Le BaB OPERA,true,https://barabieresparis.com,profile.php?id=100039388933157,https://www.instagram.com/le_bab_opera,25 Rue Louis le Grand 75002 Paris
Le Bar Commun,false,https://www.lebarcommun.fr,lebarcommun,https://www.instagram.com/lebarcommun,135 Rue des Poissonniers 75018 Paris
Le Fermenteur,false,https://lefermenteur.fr,lefermenteur,https://www.instagram.com/lefermenteur.fr,80 avenue de la Marne 92120 Paris
Le Fruit de l’Epi d’Orge,true,,lefruitdelepidorge,https://www.instagram.com/lefruitdelepidorge,6 Rue de la Folie Méricourt 75011 Paris
Le Méchant Caviste (La Petite Patrie),false,,profile.php?id=100068055636087,https://www.instagram.com/lapetitepatrieparis,12 Rue Mouton Duvernet 75014 Paris
Le Soupir ,false,,lesoupir.brasserie,https://www.instagram.com/lesoupir.brasserie,
Le Supercoin,true,https://supercoin.net,supercoin,https://www.instagram.com/lesupercoin,17 Rue Boinod 75018 Paris
Le Village,false,,levillage,https://www.instagram.com/villagebar.oficial,56 Rue de la Montagne Sainte Genevieve 75005 Paris
les bières de Belleville,false,,lesbieresdeBelleville,https://www.instagram.com/lesbieresdebelleville,9 Rue Jean-Baptiste Dumay 75020 Paris
Les Cuves de Fauve,true,https://fauvebiere.com/pages/cuves-de-fauve,lescuvesdefauve,https://www.instagram.com/lescuvesdefauve,64 Rue de Charonne 75011 Paris
Liquiderie Bar,true,https://liquiderie.com,liquiderie,https://www.instagram.com/liquiderie,7 Rue de la Présentation 75011 Paris
Liquiderie Cave,true,https://liquiderie.com,liquiderie,https://www.instagram.com/liquiderie,9 Rue des Trois Bornes 75011 Paris
Luppolo Bar,true,https://luppolo-bar.fr,profile.php?id=100092529674766,https://www.instagram.com/luppolobarparis,31 Rue Victor Massé 75009 Paris
Maltorama,true,,profile.php?id=61553445802441,https://www.instagram.com/cave_maltorama,82 Boulevard de Champigny 94210 Saint-Maur-des-Fossés
Mashrooms,true,https://mashrooms.fr,brasseriemashroomsparis,https://www.instagram.com/mashroomsmicrobrasserie,2 Rue Gustave Rouanet 75018 Paris
Mez Beer (ex Ker Beer),true,https://mezbeer.eatbu.com/?lang=en,profile.php?id=61572634454050,https://www.instagram.com/mezbeer,10 Rue Vandamme 75014 Paris
Micro-brasserie Balthazar,true,,MBBalthazar,https://www.instagram.com/mbbalthazar,90 Boulevard de Ménilmontant 75020 Paris
Nautilus,true,https://www.nautilusparis.com,Nautilusbarparis,https://www.instagram.com/nautilusbarparis,5 Rue de Châteaudun 75009 Paris
NUKA Brewing,true,https://nukabrewing.com,nukabrewing,https://www.instagram.com/nukabrewing,
O'clock Brewing,false,https://oclockbrewing.fr,oclockbrewing,https://www.instagram.com/oclock_brewing/?hl=fr,3 rue Georges Méliès 78390 Bois d'Arcy
Octopussy Bar,true,,Octo.bar.Paris,https://www.instagram.com/octopussparis,22 Rue de La Jonquière 75017 Paris
One Cloud,false,https://onecloud.beer,,,
Outland,true,https://outland-beer.com,brasserieoutland,https://www.instagram.com/outland_beer,54 Rue André Tessier 94120 Fontenay-sous-Bois
Patoche,true,https://brasseriepatoche.fr,brasseriepatoche,https://www.instagram.com/patocheandfriends,32 Rue des Trois Frères 75018 Paris
Rupture Brewing Company,false,https://www.rupturebrew.com,,https://www.instagram.com/rupturebrew,
Second Degré Microbrasserie,false,https://auseconddegre.shop,microbrasserie.seconddegre,https://www.instagram.com/microbrasserie_seconddegre,10 Rue de l'Église 77700 Magny-le-Hongre
Soquee Brewing,false,https://soqueebrewing.fr,profile.php/?id=100089211693934,https://www.instagram.com/soqueebrewing,157 Boulevard Davout 75020 Paris
The Beer Factory,false,https://www.labeerfabrique.com,labeerfabrique,https://www.instagram.com/beer_fabrique,6-10 Rue Guillaume Bertrand 75011 Paris
The Chubby Brewing Company,false,,,https://www.instagram.com/chubbybrewing,30 Rue des Charnelles 78410 Bouafle
The Great Brewery,true,https://www.thegreatbrewery.fr,thegreatbrewery,https://www.instagram.com/thegreatbrewery,2 Rue du Lieutenant Ohresser 94130 Nogent sur Marne
Tipsip Brewing,true,https://www.tipsip.fr,tipsipbrewing,https://www.instagram.com/tipsipbrewing,14 rue du général Leclerc 89200 Avallon
WAB : We Are Brewers,true,,wabparis,https://www.instagram.com/wearebrewers,16 Boulevard Jules Ferry 75011 Paris